"meaning","dictionary","dictionary2","stage","word","date","linkFile","linkFile2","parent","role","phase","time2","order","loadFile","condition","seed"
0,NA,NA,NA,"guko",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
1,NA,NA,NA,"guhu",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
2,NA,NA,NA,"guko",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
3,NA,NA,NA,"guwumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
4,NA,NA,NA,"leko",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
5,NA,NA,NA,"lehu",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
6,NA,NA,NA,"lepe",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
7,NA,NA,NA,"lewumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
8,NA,NA,NA,"lewumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
9,NA,NA,NA,"guwumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
10,NA,NA,NA,"lope",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
11,NA,NA,NA,"guwumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
12,NA,NA,NA,"hapiko",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
13,NA,NA,NA,"hapihu",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
