"meaning","dictionary","dictionary2","stage","word","date","linkFile","linkFile2","parent","role","phase","time2","order","loadFile","condition","seed"
14,NA,NA,NA,"guko",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
15,NA,NA,NA,"hapiwumo",NA,NA,NA,NA,NA,"PH1",NA,NA,"../Backups/ILMLEX_Backups_Nov2016/results/Start_1.lang","Seed","Start_1"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"goku","2_25_2016_111457","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:14:57.453Z",3,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapiku","2_25_2016_111539","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:39.096Z",10,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
2,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","2_25_2016_111542","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:42.594Z",11,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
3,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwumo","2_25_2016_111447","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:14:47.919Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
4,NA,"broccoli_paprika_aardbei_appel_____________",-1,"gole","2_25_2016_111525","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:25.962Z",8,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
5,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwimo","2_25_2016_111517","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:17.127Z",7,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
6,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hopi","2_25_2016_111511","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:11.054Z",6,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
7,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapiko","2_25_2016_111451","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:14:51.998Z",2,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
8,NA,"broccoli_paprika_aardbei_appel_____________",-1,"goku","2_25_2016_111556","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:56.137Z",13,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
9,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapiko","2_25_2016_111502","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:02.823Z",5,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
10,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","2_25_2016_111612","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:16:12.952Z",15,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
11,NA,"broccoli_paprika_aardbei_appel_____________",-1,"poku","2_25_2016_111623","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:16:23.486Z",16,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
12,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hipo","2_25_2016_111534","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:34.710Z",9,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
13,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapiko","2_25_2016_111547","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:15:47.034Z",12,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
14,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","2_25_2016_111459","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:14:59.879Z",4,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
15,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapuku","2_25_2016_111608","PH1_2_25_110110_CH1_parent-Start_1","PH1_2_25_110110_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-02-25T10:16:08.112Z",14,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1","Learnability","Start_1"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guko","3_10_2016_102213","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:13.825Z",2,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwumo","3_10_2016_102208","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:08.596Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
2,NA,"broccoli_paprika_aardbei_appel_____________",-1,"goku","3_10_2016_102223","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:23.912Z",4,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
3,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lehu","3_10_2016_102252","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:52.567Z",9,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
4,NA,"broccoli_paprika_aardbei_appel_____________",-1,"leko","3_10_2016_102259","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:59.505Z",11,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
5,NA,"broccoli_paprika_aardbei_appel_____________",-1,"luhu","3_10_2016_102305","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:23:05.578Z",12,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
6,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guhu","3_10_2016_102230","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:30.794Z",5,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
7,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwumo","3_10_2016_102255","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:55.605Z",10,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
8,NA,"broccoli_paprika_aardbei_appel_____________",-1,"x","3_10_2016_102316","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:23:16.147Z",14,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
9,NA,"broccoli_paprika_aardbei_appel_____________",-1,"huko","3_10_2016_102327","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:23:27.261Z",16,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
10,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","3_10_2016_102309","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:23:09.309Z",13,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
11,NA,"broccoli_paprika_aardbei_appel_____________",-1,"wuhumo","3_10_2016_102235","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:35.960Z",6,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
12,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapiko","3_10_2016_102322","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:23:22.782Z",15,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
13,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapihu","3_10_2016_102218","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:18.979Z",3,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
14,NA,"broccoli_paprika_aardbei_appel_____________",-1,"tohuwabohu","3_10_2016_102246","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:46.857Z",8,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
15,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lohu","3_10_2016_102239","PH1_3_10_101131_CH1_parent-Start_1","PH1_3_10_101131_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T09:22:39.548Z",7,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1","Learnability","Start_1"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"geko","3_10_2016_111652","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:52.640Z",15,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hupiwamu","3_10_2016_111515","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:15:15.547Z",6,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
2,NA,"broccoli_paprika_aardbei_appel_____________",-1,"geko","3_10_2016_111505","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:15:05.503Z",5,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
3,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapikumo","3_10_2016_111555","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:15:55.516Z",9,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
4,NA,"broccoli_paprika_aardbei_appel_____________",-1,"geko","3_10_2016_111443","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:14:43.386Z",3,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
5,NA,"broccoli_paprika_aardbei_appel_____________",-1,"gepimo","3_10_2016_111636","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:36.492Z",13,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
6,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lupo","3_10_2016_111430","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:14:30.697Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
7,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lupimo","3_10_2016_111646","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:46.680Z",14,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
8,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lapiwumo","3_10_2016_111531","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:15:31.500Z",7,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
9,NA,"broccoli_paprika_aardbei_appel_____________",-1,"geko","3_10_2016_111456","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:14:56.222Z",4,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
10,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lupo","3_10_2016_111659","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:59.406Z",16,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
11,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lupiwumo","3_10_2016_111602","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:02.645Z",10,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
12,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lupimo","3_10_2016_111539","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:15:39.128Z",8,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
13,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapihu","3_10_2016_111610","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:10.422Z",11,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
14,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","3_10_2016_111438","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:14:38.193Z",2,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
15,NA,"broccoli_paprika_aardbei_appel_____________",-1,"luipwo","3_10_2016_111621","PH1_3_10_102825_CH1_parent-Start_1","PH1_3_10_102825_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-10T10:16:21.580Z",12,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1","Learnability","Start_1"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guko","3_24_2016_121550","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:50.942Z",12,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lowuko","3_24_2016_121544","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:44.757Z",11,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
2,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","3_24_2016_121616","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:16:16.688Z",16,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
3,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lowuko","3_24_2016_121517","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:17.465Z",7,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
4,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lopu","3_24_2016_121508","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:08.846Z",6,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
5,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwuko","3_24_2016_121434","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:14:34.099Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
6,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guko","3_24_2016_121531","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:31.200Z",9,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
7,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hawuko","3_24_2016_121604","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:16:04.678Z",14,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
8,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","3_24_2016_121539","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:39.191Z",10,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
9,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lowuko","3_24_2016_121600","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:16:00.138Z",13,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
10,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lope","3_24_2016_121444","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:14:44.400Z",3,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
11,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hapu","3_24_2016_121611","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:16:11.499Z",15,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
12,NA,"broccoli_paprika_aardbei_appel_____________",-1,"leko","3_24_2016_121438","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:14:38.713Z",2,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
13,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guwuko","3_24_2016_121459","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:14:59.627Z",5,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
14,NA,"broccoli_paprika_aardbei_appel_____________",-1,"lowuko","3_24_2016_121453","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:14:53.084Z",4,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
15,NA,"broccoli_paprika_aardbei_appel_____________",-1,"hawuko","3_24_2016_121524","PH1_3_24_114805_CH1_parent-Start_1","PH1_3_24_114805_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-24T11:15:24.205Z",8,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1","Learnability","Start_1"
0,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guko","3_3_2016_102226","PH1_3_3_101113_CH1_parent-Start_1","PH1_3_3_101113_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-03T09:22:26.293Z",3,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101113_CH1_parent-Start_1","Learnability","Start_1"
1,NA,"broccoli_paprika_aardbei_appel_____________",-1,"guko","3_3_2016_102238","PH1_3_3_101113_CH1_parent-Start_1","PH1_3_3_101113_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-03T09:22:38.247Z",4,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101113_CH1_parent-Start_1","Learnability","Start_1"
2,NA,"broccoli_paprika_aardbei_appel_____________",-1,"luko","3_3_2016_102203","PH1_3_3_101113_CH1_parent-Start_1","PH1_3_3_101113_CH1_parent-Start_1","Start_1.lang","Part1","PH2","2016-03-03T09:22:03.744Z",1,"../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101113_CH1_parent-Start_1","Learnability","Start_1"
