"file","phase","seed","condition","path","Expressivity","Systematicity","Learnability","Learnability.sd","mean.word.length","distinctiveness"
"PH1_3_24_094856_CH4_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_094856_CH4_parent-Start_4",0.5,0.318073718546972,0.83359375,0.0837980747522037,4.875,0.653611111111111
"PH1_3_8_105005_CH1_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_8_105005_CH1_parent-Start_4",0.5625,-0.000248707689905088,0.826388888888889,0.0967872212830997,5.25,0.613194444444444
"PH1_3_8_105030_CH2_parent-Start_4","PH2","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_8_105030_CH2_parent-Start_4",0.6875,0.13834487999201,0.825520833333333,0.0512961343843547,5.625,0.561111111111111
"PH1_5_19_111631_CH2_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_5_19_111631_CH2_parent-Start_4",1,0.365051049012865,0.809936953365262,0.148003321736323,11.125,0.766789807414807
"PH1_6_14_114615_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_6_14_114615_CH1_parent-Start_4",0.875,0.271437210504934,0.772395833333333,0.177702145912865,5.4375,0.662222222222222
"PH1_6_28_095126_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_6_28_095126_CH1_parent-Start_4",0.9375,0.167491144063374,0.814118910603286,0.102919425812844,8.8125,0.813915343915344
"PH2_6_16_114047_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_16_114047_CH1_parent-Start_4",1,0.208378247529833,0.703041015357192,0.216389546133232,11.1875,0.732940069190069
"PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_16_125333_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4",1,0.140263678103774,NA,NA,11.125,0.763666588041588
"PH1_8_23_135833_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_23_135833_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4",0.6875,0.0991755970844839,NA,NA,6,0.572222222222222
"PH1_8_9_120335_CH1_parent-Start_4","PH2","Start_4","Learnability + Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH1_8_9_120335_CH1_parent-Start_4",1,0.392441450953008,0.956428128774631,0.0251051329545241,23,0.648437593667865
"PH2_5_26_112353_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_5_26_112353_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4",0.6875,0.0606371430198826,NA,NA,5.75,0.51875
"PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4",0.4375,0.0196331082079035,0.734375,NA,5.375,0.608333333333333
"PH2_6_14_100004_CH1_parent-PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_14_100004_CH1_parent-PH3_5_19_113844_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4",0.4375,0.0576954128462039,NA,NA,5.1875,0.599305555555556
"PH2_6_2_113539_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_2_113539_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4",0.625,0.0993429122168286,NA,NA,6,0.575
"PH2_6_23_094112_CH1_parent-Start_4","PH2","Start_4","Expressivity","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_23_094112_CH1_parent-Start_4",1,0.470227154594331,0.701756469633308,0.0236112745414712,10.3125,0.735725559163059
"PH2_6_28_114809_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH2_6_28_114809_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4",0.5625,0.13585259284712,NA,NA,5.5,0.583333333333333
