"file","phase","seed","condition","path"
"Start_1","PH1","Start_1","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_1"
"PH1_2_25_110110_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110110_CH1_parent-Start_1"
"PH1_3_10_101131_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_101131_CH1_parent-Start_1"
"PH1_3_10_102825_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102825_CH1_parent-Start_1"
"PH1_3_24_114805_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_24_114805_CH1_parent-Start_1"
"PH1_3_3_101113_CH1_parent-Start_1","PH2","Start_1","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_101113_CH1_parent-Start_1"
"Start_3","PH1","Start_3","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_3"
"PH1_2_25_110232_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110232_CH3_parent-Start_3"
"PH1_3_10_102849_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_10_102849_CH3_parent-Start_3"
"PH1_3_17_104852_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_17_104852_CH3_parent-Start_3"
"PH1_3_3_110048_CH3_parent-Start_3","PH2","Start_3","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_3_3_110048_CH3_parent-Start_3"
"Start_2","PH1","Start_2","Seed","../Backups/ILMLEX_Backups_Nov2016/results/Start_2"
"PH1_2_25_110256_CH2_parent-Start_2","PH2","Start_2","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH1_2_25_110256_CH2_parent-Start_2"
